Longitude Latitude Depth Magnitude
-0.610 -0.124 13.3 4.8
-0.116 -0.689 12.7 4.0
-0.197 0.906 8.7 3.8
0.840 0.237 6.2 4.0
-0.08 0.059 14 3.7
0.158 -0.4 12.2 3.6
0.527 -0.361 3.7 3.8
-0.875 0.421 18.7 4.0
-0.670 -0.791 6.7 4.7
0.950 -0.542 13.6 4.0
-0.553 -0.825 13.2 4.1
-0.098 -0.653 19.8 4.1
-0.059 -0.708 0.2 4.0
-0.972 0.887 15.5 4.7
0.429 -0.342 9.6 4.0
-0.223 -0.109 9.0 4.2
0.911 -0.311 2.7 4.1
0.414 0.297 10.1 3.9
-0.2 0.066 3 3.8
-0.616 0.089 7.4 4.6
-0.579 -0.546 3.0 5.8
0.349 0.838 1.6 4.0
0.768 -0.556 10.3 3.9
-0.816 0.911 16.7 4.2
-0.981 -0.940 19.6 4.5
-0.997 0.332 10.0 4.5
0.934 0.821 19.5 4.0
-0.964 0.572 7.5 3.8
-0.209 -0.34 19 3.9
0.686 -0.054 1.0 4.0
-0.316 -0.047 3.7 3.8
0.059 0.829 9.1 4.3
-0.083 -0.494 18.2 4.1
-0.082 -0.177 17.3 3.8
-0.603 -0.914 19.1 3.9
0.938 0.748 11.9 4.2
0.893 0.279 6.0 5.9
-0.988 -0.178 17.0 4.0
-0.826 -0.109 7.0 4.7
-0.976 0.682 4.4 4.2
-0.506 -0.306 5.9 4.1
0.953 0.460 19.2 4.6
-0.105 -0.707 6.2 3.7
0.464 0.056 4.9 4.1
-0.498 -0.03 3.4 3.8
0.582 -0.698 18.1 3.7
-0.304 -0.734 17.7 3.9
0.811 -0.407 0.8 3.9
0.711 0.133 8.6 4.3
-0.030 0.038 11.4 4.0
0.675 -0.536 9.9 4.4
0.759 -0.186 16.4 4.0
-0.541 0.534 9.0 4.5
0.135 -0.504 19.5 3.7
0.813 -0.369 18.9 3.9
0.117 -0.772 9.3 3.9
-0.614 0.289 4.3 4.0
0.852 0.934 6.9 3.6
-0.566 -0.075 3.9 4.8
-0.962 0.095 7.3 4.4
-0.626 -0.409 16.9 3.7
-0.819 -0.424 17.3 4.1
0.199 0.543 16.2 3.8
-0.551 0.618 1.6 5.5
0.354 0.36 18.4 3.6
-0.877 -0.765 3.3 4.1
0.129 -0.074 12.3 4.4
-0.450 -0.919 16.2 6.2
0.857 0.599 13.3 4.2
-0.744 -0.110 4.7 4.1
-0.325 0.109 7.9 4.3
0.173 0.357 19.3 4.7
-0.809 -0.298 12.4 5.2
0.456 0.400 16.7 4.9
-0.215 -0.575 19.6 3.9
-0.667 -0.635 5.9 4.1
-0.388 0.182 18 3.7
0.759 -0.751 13.1 4.6
0.724 0.117 9.2 3.7
0.169 -0.844 19.4 4.2
-0.482 -0.709 0.8 4.1
-0.688 0.513 1.9 4.2
0.729 -0.090 12.9 4.1
0.736 0.224 2.8 4.0
0.546 -0.592 13.9 4.1
0.064 -0.143 0.1 4.3
-0.662 -0.023 8.3 4.3
0.802 0.032 6.4 4.0
0.536 0.698 1.5 4.4
-0.284 0.241 19.7 4.3
0.512 0.537 12.5 3.8
-0.032 0.181 1.3 3.7
0.508 -0.076 5 3.8
-0.520 -0.822 20.0 4.8
0.015 0.775 18.7 4.0
-0.186 -0.949 8.6 5.0
0.671 -0.671 18.5 4.3
-0.573 0.419 16.8 3.8
-0.941 -0.338 7.6 4.7
-0.363 0.592 2.9 3.8
-0.669 0.742 19.7 4.7
0.657 -0.683 8.3 3.9
-0.008 0.036 15.7 4.0
-0.168 0.955 19.7 3.8
-0.477 0.255 17.9 3.7
0.447 0.726 11.7 3.8
-0.359 -0.254 13.7 4.2
0.463 -0.749 10.0 4.0
0.396 -0.117 16.7 4.8
0.415 0.371 15.3 4.1
0.43 -0.336 3.3 3.7
-0.675 -0.249 17.2 4.1
0.431 -0.611 4.6 4.0
-0.598 -0.354 2.5 3.9
-0.081 -0.451 17.3 3.9
0.487 -0.431 9.3 4.0
-0.001 -0.372 18.5 4.4
0.258 0.736 8.7 4.6
-0.770 0.297 18.0 4.2
-0.347 -0.226 9.7 3.9
-0.943 -0.051 10.5 4.3
0.253 0.105 8.2 4.0
0.167 0.585 3.9 4.6
0.532 0.637 0.4 4.5
-0.883 -0.235 6.1 4.1
0.764 -0.424 2.5 3.8
0.263 0.796 13.0 4.8
0.296 -0.693 16.6 5.2
-0.934 0.414 14 3.9
-0.447 0.952 8.4 4.0
-0.120 -0.506 14.4 4.5
-0.326 0.884 17.1 4.9
-0.953 -0.520 9.6 4.4
0.008 -0.194 10.9 3.9
-0.021 -0.208 19.3 5.4
-0.863 -0.222 1.8 3.9
-0.217 -0.541 4.5 3.9
-0.489 0.576 3.3 3.7
-0.031 -0.147 0.9 3.8
-0.764 -0.506 17.1 4.1
0.824 -0.428 12.4 4.1
0.865 0.09 18.2 3.8
0.642 0.613 20.0 4.4
0.835 -0.909 18.8 4.4
-0.096 0.571 18.0 4.0
-0.914 0.955 5.1 4.2
0.96 -0.343 2 3.8
0.450 0.259 14.5 4.0
-0.302 0.773 8.0 4.0
0.654 0.319 8.1 4.2
-0.401 -0.850 1.6 4.0
-0.316 0.47 18.1 3.7
-0.668 0.663 15.2 6.0
0.592 -0.655 12.1 4.6
-0.850 0.221 16.7 4.1
0.329 0.136 16.9 4.2
0.595 -0.082 5.6 4.0
-0.617 0.191 3.9 4.6
0.053 -0.040 6.9 4.0
-0.734 0.563 1.3 4.2
-0.897 -0.284 11.8 4.0
-0.35 -0.067 5.4 3.7
-0.673 0.059 4.5 3.7
-0.360 -0.568 18.8 4.2
-0.028 -0.087 3.6 3.9
0.292 0.893 10.7 3.9
0.160 -0.957 6.1 4.1
-0.853 -0.598 2.3 3.9
-0.054 -0.420 3.6 4.0
0.176 0.809 6.5 3.9
0.66 0.516 19.1 3.9
-0.806 0.851 12.2 3.8
-0.268 0.554 12.2 4.2
-0.75 -0.79 3.5 3.9
-0.378 -0.095 9.3 4.5
-0.614 0.106 9.3 4.4
0.298 0.698 13.9 4.9
0.371 -0.276 3.3 4.0
0.220 -0.724 11.3 4.5
-0.819 -0.55 6.2 3.8
-0.906 0.028 10.6 4.2
-0.714 0.172 12.9 4.1
-0.241 -0.947 5.9 4.4
-0.862 0.103 16 3.9
0.256 -0.625 4.2 3.9
-0.586 -0.425 7.6 3.7
-0.155 0.499 3.1 4.0
0.046 0.837 19.1 4.1
-0.489 -0.964 18.6 3.7
-0.949 0.864 0 3.6
0.939 -0.785 18.3 4.5
-0.901 0.175 13.3 3.9
0.725 -0.952 5.8 4.2
-0.749 0.605 12.6 4.0
-0.224 0.063 13.8 4.3
-0.582 -0.778 17.5 3.9
-0.199 0.654 19.1 3.8
-0.072 0.439 6.3 4.2
-0.917 0.413 0.4 3.5
0.522 0.655 14.8 4.1
0.464 -0.725 11.4 4.1
0.916 -0.800 14.0 4.1
0.796 0.008 8.2 4.7
-0.854 -0.2 10.3 3.8
-0.406 -0.748 7.0 4.1
-0.518 0.299 11.4 4.0
0.268 -0.067 3.2 5.3
-0.897 -0.169 5.4 4.8
0.398 0.152 11.3 3.8
0.681 -0.402 13.3 4.0
0.483 -0.491 16.4 4.0
-0.934 -0.677 14.8 4.5
-0.466 -0.678 18.9 3.9
0.502 -0.059 16.3 3.8
0.325 0.479 17.6 3.7
-0.291 -0.598 10.8 3.7
-0.673 -0.478 11.9 4.1
-0.380 0.262 8.1 4.3
0.604 0.653 18.1 3.9
-0.604 0.267 13.5 4.0
0.711 -0.450 4.8 4.4
-0.212 0.106 0.5 4.1
0.247 0.640 10.4 5.0
-0.353 -0.114 2.3 4.4
-0.558 -0.721 10.2 4.0
-0.786 0.535 9.7 3.7
-0.889 0.129 15.4 5.9
0.152 0.189 19.1 4.3
0.159 -0.773 11.4 3.9
-0.885 -0.902 12.8 4.2
0.895 0.48 5.5 3.8
0.746 -0.395 8.4 4.2
0.918 -0.406 3.8 3.7
-0.667 -0.164 19.0 4.7
-0.436 0.341 8.1 3.9
0.120 0.582 6.8 4.3
-0.358 0.584 18.9 3.6
-0.470 -0.383 11.1 4.2
-0.518 -0.618 11.3 5.1
0.568 0.592 16.7 4.1
-0.932 -0.147 0.7 6.1
-0.503 0.749 6.0 4.0
-0.422 -0.054 3.7 4.1
-0.077 -0.870 4.3 5.4
-0.27 0.268 5.5 3.7
-0.766 0.337 0.6 4.1
0.543 0.552 19.3 4.0
0.071 0.408 2.2 3.5
-0.843 -0.167 8.5 3.7
0.675 0.757 13.3 4.4
-0.761 0.183 11.6 3.9
0.704 0.086 18 3.9
-0.835 0.558 3.6 4.1
-0.753 0.107 7.5 4.1
-0.642 0.319 7.3 4.8
-0.406 -0.656 17.3 4.2
-0.148 -0.134 5.8 4.7
-0.429 -0.874 17.8 4.5
-0.366 0.753 4.1 3.9
-0.971 -0.828 4.7 3.5
0.758 0.252 13.5 3.8
-0.634 -0.890 11.1 4.3
0.972 -0.500 12.3 4.8
-0.154 -0.371 1.6 4.3
-0.036 0.783 0.8 4.1
-0.252 0.288 18.5 4.3
0.268 -0.371 6.9 4.0
-0.937 0.415 10.7 4.6
-0.488 0.420 4.5 6.6
-0.227 0.777 3.8 4.8
-0.788 -0.899 3.8 4.0
0.533 -0.383 3.6 3.6
0.417 -0.166 3.7 4.1
0.933 0.706 8.8 4.5
0.606 -0.205 20 3.8
-0.709 0.153 13.2 3.9
-0.260 -0.938 18.1 4.3
-0.503 0.016 3.5 3.7
0.953 0.703 8.4 5.8
0.958 -0.235 4.9 3.7
-0.656 0.400 4.1 4.4
0.957 0.419 9.9 4.2
0.469 0.605 15.6 4.5
0.662 0.936 19.3 4.0
-0.218 -0.844 4.1 3.9
0.183 0.340 7.8 4.2
0.749 -0.034 8.3 3.8
-0.933 -0.171 13.9 5.0
-0.875 0.112 1.3 4.2
0.769 -0.584 3.8 4.1
-0.748 -0.101 2.8 4.3
0.096 0.349 7.6 4.3
-0.675 -0.48 3.8 3.8
-0.094 -0.108 18.1 4.0
0.045 0.184 5.0 4.0
0.262 -0.152 1.8 4.2
-0.245 -0.360 15.8 4.5
0.148 0.368 0.8 4.0
-0.570 0.458 14.2 4.8
-0.451 0.594 9.1 4.0
0.697 -0.977 12.1 4.1
0.743 -0.2 6.9 3.9
0.338 0.317 13.7 4.7
0.725 0.315 4.4 4.0
0.41 -0.997 4.9 3.8
0.799 0.499 3.1 4.1
-0.693 -0.161 10.6 4.1
0.043 0.822 11 3.8
0.941 -0.082 10.1 4.1
0.623 -0.815 13.8 3.7
-0.366 -0.695 3.1 4.9
0.708 -0.077 0.6 3.7
-0.119 -0.236 8.3 4.0
0.671 -0.028 14.6 3.9
0.393 -0.682 12.4 4.2
-0.522 -0.183 1.7 4.0
-0.282 0.834 18.8 3.9
-0.199 -0.442 8.8 4.7
-0.294 0.318 16.0 4.2
0.201 0.414 5.9 4.0
0.882 0.957 6 3.9
-0.812 -0.532 1.8 4.0
0.569 -0.218 19.3 4.1
-0.294 -0.258 14.4 4.2
-0.595 0.349 19.3 4.0
-0.420 0.247 19.6 4.4
-0.685 -0.732 3.7 4.1
-0.505 -0.464 4 3.9
-0.580 0.081 17.3 4.8
-0.280 -0.146 14.5 4.2
-0.504 -0.026 15.8 4.7
-0.149 -0.237 11.4 3.6
-0.39 0.835 13.4 3.6
-0.455 -0.364 10.9 4.4
0.160 -0.695 14.4 4.2
0.618 -0.517 11.4 4.2
0.146 -0.370 15.9 5.1
-0.923 -0.467 19.7 3.9
-0.256 -0.788 14.7 3.7
-0.831 0.687 3.6 4.2
-0.145 -0.671 19.2 3.9
-0.089 0.294 13.6 4.5
-0.401 0.382 2.4 3.9
-0.603 0.694 10.4 4.0
0.183 -0.106 4.6 4.2
0.534 -0.817 13.5 3.6
-0.960 0.876 19.7 5.0
0.294 0.403 19.3 4.1
-0.449 -0.254 4.6 4.0
-0.987 -0.652 9.7 4.0
0.081 0.070 11.6 4.0
0.768 -0.638 4.7 4.0
0.746 0.538 6.0 4.5
0.996 -0.92 9.6 3.9
0.674 -0.876 12.4 3.6
0.913 -0.289 12.0 4.8
0.156 -0.285 5.7 4.4
-0.571 0.764 10.0 4.0
0.772 0.478 1.7 3.9
0.242 0.591 1.9 5.0
0.621 -0.142 4.8 4.9
-0.446 0.756 4.0 4.1
0.580 -0.211 14.3 4.3
0.37 -0.917 8 3.6
-0.922 -0.59 12.4 3.7
-0.775 -0.21 10 3.8
-0.585 0.707 19.5 4.0
-0.354 -0.739 9.0 4.4
-0.063 0.766 10.2 5.5
-0.500 0.657 1.1 5.8
-0.416 -0.519 15.1 4.3
0.835 0.6 10.2 3.7
0.323 0.573 14.7 4.5
0.897 -0.171 17.4 5.7
-0.065 0.117 18.9 5.5
-0.701 -0.53 4.6 3.8
-0.476 -0.148 14.9 4.1
0.224 0.149 17.8 4.6
-0.638 -0.504 16.1 4.3
-0.555 0.413 3.2 4.0
0.542 -0.421 8.2 3.7
-0.460 0.144 2.0 4.9
0.456 -0.953 18.3 3.7
-0.521 0.720 15.6 4.8
0.262 0.278 14.9 4.4
0.347 0.277 8.8 5.0
0.588 -0.477 14.4 4.1
-0.319 -0.729 5.4 4.4
-0.544 -0.569 2.7 4.1
0.235 0.557 7.2 4.1
0.188 -0.083 17.4 4.9
0.493 0.852 19.9 4.2
0.513 0.072 19.6 5.2
-0.926 0.003 12.8 4.7
0.027 0.522 1.5 4.2
-0.570 0.778 11.0 4.0
-0.351 -0.392 10.9 3.8
-0.992 0.341 3.8 4.3
-0.757 -0.424 14.4 4.2
0.676 -0.853 11.3 4.0
0.182 -0.981 12.6 3.8
-0.765 0.581 18.8 3.5
0.105 -0.291 2.1 4.9
0.108 -0.891 9.0 5.6
0.933 -0.340 10.5 4.0
0.901 0.864 4.4 4.2
-0.544 0.883 15.1 3.7
0.297 0.008 19.9 5.1
-0.709 -0.128 0.8 4.1
0.806 -0.827 15.4 4.1
-0.053 0.163 5.7 4.6
0.419 -0.374 7 3.8
-0.158 -0.164 16.0 4.0
0.641 0.042 17.3 3.9
0.101 -0.812 4.2 4.3
-0.345 0.314 4.5 4.3
0.986 0.199 1.9 4.1
0.764 0.493 16 3.9
0.553 -0.001 17.7 4.3
0.511 -0.654 11.5 4.6
0.350 0.167 0.1 4.5
-0.621 0.702 3.7 4.1
-0.412 0.494 5.3 4.1
0.381 -0.07 2.8 3.8
-0.208 -0.460 1.5 4.6
-0.376 0.599 14.2 3.9
0.553 0.515 4.9 4.3
-0.54 -0.25 3.1 3.6
-0.110 0.362 16.6 5.2
0.795 -0.868 17.2 4.2
0.336 -0.303 0.3 5.0
-0.013 -0.684 5.2 3.9
-0.408 0.390 12.4 4.6
-0.112 -0.496 10.5 4.6
-0.458 0.603 0.3 3.7
0.784 -0.809 14.4 4.5
-0.632 -0.843 6.1 4.2
-0.216 0.683 15.7 4.0
0.926 0.110 5.3 4.0
0.428 0.199 7.4 3.8
0.083 -0.394 6.5 4.7
-0.017 0.493 19.7 3.9
-0.228 0.634 19.1 4.3
-0.884 0.306 7.9 4.2
-0.569 0.241 19.4 3.9
0.359 -0.340 10.0 4.3
-0.124 -0.297 3.3 4.0
0.529 -0.469 15.6 4.2
0.408 0.225 17 3.8
-0.254 -0.799 19.4 5.7
0.889 0.954 17.5 4.1
0.811 -0.422 0.6 5.5
0.024 0.209 16.4 3.8
0.812 -0.375 13.2 4.1
-0.456 0.639 14.4 4.9
-0.283 -0.543 3.0 4.2
0.65 -0.199 3.4 3.7
-0.205 -0.374 6.5 5.0
-0.710 -0.997 19.9 4.2
0.522 0.543 0.2 3.9
-0.157 0.513 19.7 4.7
-0.754 -0.027 11.8 3.8
-0.250 -0.320 12.5 4.1
0.779 -0.910 11.8 4.4
0.456 0.006 15.4 4.6
-0.730 0.838 17.2 4.5
0.092 0.278 6.4 3.9
-0.501 0.282 13.1 5.5
0.567 -0.597 17.8 4.0
0.207 0.807 17.9 5.1
0.705 0.616 16.5 4.1
-0.215 -0.727 9.3 4.0
-0.617 -0.570 6.7 4.3
-0.375 0.625 2 3.5
-0.104 -0.905 8.4 4.2
-0.860 0.547 11.6 4.5
-0.431 -0.193 5.5 4.8
0.331 -0.747 2.4 3.9
-0.584 -0.867 19.8 4.0
-0.678 0.026 9.6 4.0
0.304 -0.121 19.2 4.3
-0.346 -0.128 5.2 4.8
-0.962 -0.327 13.7 4.4
0.398 0.599 12.0 4.9
-0.516 0.059 13.1 3.6
-0.826 -0.045 0.2 4.0
0.779 -0.774 19.4 4.5
0.376 -0.557 7.5 4.6
-0.371 -0.226 1.3 3.6
0.932 0.693 11.9 3.9
-0.249 -0.272 12.8 3.8
-0.456 0.373 0.7 4.1
-0.694 -0.106 3.4 4.3
-0.633 0.476 10.9 4.9
-0.047 -0.403 8.1 4.2
0.686 -0.314 2.8 4.6
-0.953 -0.816 5.7 3.8
-0.577 -0.004 0.8 3.9
0.538 0.880 15.9 4.3
0.777 0.086 11.7 4.7
-0.636 -0.997 18.3 4.4
-0.079 0.934 10.5 4.1
-0.304 0.018 6.3 4.1
0.455 0.327 15.8 5.0
0.519 -0.572 17.8 3.9
-0.814 -0.116 19.7 4.0
-0.934 -0.086 0.7 3.8
-0.440 0.302 13.1 4.1
-0.062 -0.792 16.2 4.4
-0.917 0.774 18.8 3.9
0.879 -0.222 7.8 4.8
0.121 -0.390 18.8 4.0
-0.515 -0.537 2.2 4.1
-0.469 -0.549 4.2 4.1
-0.539 0.119 5.9 3.9
-0.482 -0.644 8.6 4.6
-0.21 -0.129 8.8 3.9
-0.777 -0.571 17.8 4.0
0.515 0.525 7.7 4.6
-0.109 0.209 6.9 4.6
0.608 -0.5 12.2 3.6
0.800 -0.498 0.5 4.4
-0.996 0.688 1.8 3.8
0.946 0.472 16.9 3.9
-0.278 0.855 19.1 4.3
0.542 -0.844 1.4 4.3
0.879 -0.300 17.4 4.0
0.179 0.64 17.2 3.6
-0.794 -0.575 5.0 4.2
-0.854 -0.212 18.5 4.2
-0.637 0.88 5.4 3.9
0.308 -0.466 10.0 4.0
-0.295 0.850 6.0 4.0
-0.782 0.840 16.8 5.3
0.363 -0.919 17.7 3.9
-0.806 0.484 18.9 4.1
-0.334 0.476 12.7 4.2
-0.558 0.082 13.7 4.2
-0.501 -0.315 0.9 3.7
-0.794 -0.925 6.2 3.9
0.189 0.082 8 3.8
-0.562 -0.274 0 3.6
0.899 0.080 18.8 4.0
0.646 0.563 4.2 3.9
0.924 0.449 3.4 3.9
-0.658 -0.139 13.0 5.1
0.449 0.323 17 3.6
0.926 0.268 13.2 4.6
-0.479 0.141 16.3 5.6
0.981 -0.167 18.8 5.1
0.393 -0.545 3.0 4.3
-0.921 -0.010 15.5 4.0
-0.554 -0.224 16.9 4.0
0.402 -0.513 3.8 5.3
-0.412 -0.669 4.6 4.0
0.61 -0.735 10.8 3.9
-0.264 0.832 17.3 4.3
0.403 0.601 5.9 4.1
0.062 0.121 8.5 4.8
0.336 -0.554 9.5 4.3
0.816 0.838 2.5 5.2
0.957 -0.676 1.7 4.2
-0.257 0.608 7.8 3.9
0.344 -0.413 7.0 4.6
-0.138 -0.782 10.8 4.7
-0.508 -0.868 4.7 4.2
-0.548 -0.042 19.8 5.3
0.331 -0.893 16.1 3.8
0.563 0.139 18.4 4.4
-0.306 -0.225 13.1 4.1
-0.805 -0.674 16.7 4.4
-0.216 -0.228 14.6 3.7
0.586 -0.784 15.5 4.4
0.953 -0.166 2.7 4.3
-0.616 0.692 9.8 3.8
0.188 -0.654 3.3 5.0
-0.163 -0.593 19.3 4.5
0.158 -0.167 1.7 3.8
-0.384 -0.715 9.7 3.7
-0.712 -0.850 14.4 4.2
0.991 -0.478 13.7 4.4
-0.639 -0.408 17.1 4.4
-0.279 -0.297 3.8 4.1
0.183 -0.69 0.4 3.9
-0.611 -0.117 7.9 4.1
0.313 -0.675 1.2 3.9
-0.537 0.170 10.4 4.1
0.084 -0.573 19.0 4.0
0.958 -0.254 16.6 3.7
-0.670 -0.526 0.1 4.9
0.720 0.691 7.1 4.6
0.575 0.926 16.9 3.9
-0.582 0.674 11.9 3.9
0.607 -0.783 16.9 3.9
0.203 0.542 8.0 4.1
-0.814 0.248 6.6 4.5
0.413 -0.093 16.1 4.0
0.677 0.109 9.5 4.4
0.137 0.63 7.3 3.8
-0.728 -0.703 8.8 4.7
-0.968 0.02 19.7 3.8
-0.468 0.544 11.9 4.0
0.959 -0.717 17.7 4.4
0.933 -0.566 9.4 4.1
0.568 -0.5 19.4 3.6
-0.52 0.988 0.5 3.8
0.979 0.544 13.8 4.1
-0.753 -0.724 2.6 4.1
-0.191 0.422 6.0 4.5
0.381 0.291 10.6 3.9
0.330 -0.516 16.4 5.4
-0.738 0.874 4 3.9
0.261 0.212 12.6 4.5
0.112 0.731 19.7 3.8
-0.487 -0.464 18.0 4.6
0.693 -0.577 12.8 4.5
0.443 -0.157 13.0 4.3
-0.329 0.348 1.5 3.8
0.593 0.212 12.6 4.2
0.765 -0.109 0.0 4.0
0.778 0.271 11.3 4.9
0.784 -0.549 14.6 4.4
0.849 -0.910 17.5 4.7
-0.166 0.91 16.4 3.8
-0.840 0.087 2.1 5.0
0.604 -0.66 13.1 3.6
-0.934 0.379 0.1 4.1
0.077 -0.085 1.0 4.1
-0.880 -0.065 2.8 4.4
-0.097 -0.592 9.4 4.2
0.602 0.425 14.6 4.6
0.845 0.474 8.0 4.1
-0.088 -0.821 16.9 4.3
0.411 0.399 13.8 4.8
0.112 0.089 8.0 4.7
-0.092 0.561 12.9 3.9
0.442 -0.345 13.1 4.5
-0.311 0.557 7.0 4.2
-0.049 0.716 17.9 3.9
0.216 0.437 7.0 4.4
0.414 -0.321 15.5 3.7
0.346 0.504 13.6 3.9
0.031 0.897 7.8 4.4
-0.701 0.906 13.9 3.8
-0.762 0.494 17.7 4.3
0.691 -0.536 14.9 3.8
0.295 0.415 12.4 3.5
-0.828 0.907 3.9 4.5
-0.163 -0.669 14.5 3.8
-0.186 -0.004 17.6 4.0
-0.642 -0.800 8.9 4.3
0.385 -0.727 16.8 4.0
0.748 0.267 0.9 4.3
0.081 -0.203 10.6 4.1
-0.523 -0.179 13.7 4.6
0.856 0.294 15.8 4.0
0.260 0.953 2.5 4.4
-0.346 0.328 10.8 4.5
0.62 0.335 10.5 3.8
0.532 -0.433 18.3 4.0
0.615 0.662 16.1 4.3
0.781 0.63 2 3.7
-0.376 -0.736 14.1 4.1
-0.285 0.531 12.1 4.0
0.949 0.203 3.6 4.1
-0.643 -0.512 16.4 4.6
-0.987 0.668 8.0 4.8
0.152 0.465 9.4 4.3
0.391 -0.159 2.4 4.1
0.452 -0.464 14.1 4.1
0.169 -0.869 16.8 4.0
0.542 -0.835 6.4 3.9
-0.03 -0.101 15.7 3.5
0.475 0.692 15.3 3.7
0.393 0.807 0.9 4.9
0.417 -0.178 18.6 3.9
0.804 0.815 0.3 4.3
0.740 -0.377 8.1 5.3
-0.171 0.251 7.7 4.9
-0.530 -0.734 16.6 4.2
0.674 -0.042 3.6 4.3
-0.780 -0.382 17.8 4.1
-0.173 -0.206 13.0 4.5
-0.732 -0.870 14.8 4.3
0.806 0.866 12.9 3.9
0.832 0.896 10.7 4.3
0.519 0.719 12.1 3.8
0.843 0.016 0.4 4.2
-0.659 0.292 6.2 4.0
0.202 -0.735 11.9 4.0
-0.140 -0.131 4.8 4.1
0.144 0.138 3.0 4.3
0.219 -0.992 6.9 4.0
0.869 0.087 15.2 4.3
-0.832 0.440 9.0 4.0
-0.028 -0.905 9.5 4.3
-0.963 0.233 14.2 4.6
-0.245 -0.401 16.7 3.6
-0.685 -0.443 13.3 4.0
0.480 -0.388 17.9 4.7
0.340 0.298 12.1 4.3
0.398 0.631 9.9 3.7
-0.273 -0.051 2.8 3.7
-0.613 0.989 19.7 4.6
-0.917 -0.972 16.2 4.6
0.956 0.255 18.7 4.6
0.405 -0.778 4.4 3.5
-0.411 -0.798 5.7 4.6
0.063 -0.99 18.5 3.6
0.391 -0.42 9.7 3.8
-0.393 -0.661 8.4 3.9
-0.041 -0.630 18.5 4.3
0.041 0.465 11.1 4.0
-0.074 -0.019 0.0 4.2
0.068 0.434 15.3 4.5
0.075 0.362 2.0 4.0
0.374 -0.541 9.1 4.0
-0.157 0.218 11.8 4.2
0.498 -0.945 2.1 4.2
0.465 -0.422 14.2 4.2
-0.438 -0.583 9.1 4.4
0.763 0.188 18.1 4.1
-0.921 0.123 6.8 4.7
-0.059 0.152 0.5 3.8
0.97 0.212 4.5 3.9
-0.974 -0.401 6.6 4.4
-0.411 -0.843 11.2 4.4
0.552 -0.834 7.1 3.8
-0.445 -0.225 15.9 4.3
-0.190 0.079 4.8 4.4
0.623 -0.674 19.9 3.9
-0.354 0.75 9.2 3.6
0.057 -0.749 10.5 4.4
0.152 0.577 12.1 4.8
0.546 -0.977 10.1 3.6
0.485 -0.186 1 3.8
-0.716 -0.798 6.0 4.2
0.541 0.696 15.1 4.0
-0.572 -0.238 17.6 4.1
0.458 0.565 1.5 3.9
0.467 0.099 3.5 4.8
-0.625 0.409 15.6 4.9
-0.307 0.084 8.4 4.1
0.504 0.476 2.5 4.1
-0.521 -0.467 19.9 3.8
-0.406 -0.813 6.6 4.5
